OrderID,OrderDate,DeliveryDate,SupplierID,SupplierRegion,WarehouseID,WarehouseRegion,WarehouseCapacity,ProductCategory,ShelfLifeDays,TransportMode,DistanceKM,PlannedLeadTimeDays,ActualLeadTimeDays,OrderQuantity,UnitCost,ShippingCost,InventoryLevel,ReorderPoint,CustomerPriority,IsDelayed
ORD-100000,2024-06-29,2024-07-12,SUP-008,Central,WH-05,Central,20101,Dairy,7,Sea,629.48,12.79,13.47,1636,,41.19,19534.0,3015,Standard,0
ORD-100001,2023-01-14,2023-01-20,SUP-028,East,WH-12,North,38605,Beverages,30,Rail,2098.07,7.62,6.99,4328,18.03,908.05,31043.0,5790,High,0
ORD-100002,2023-03-01,2023-03-09,SUP-016,South,WH-12,North,38605,Personal Care,60,Road,2005.45,5.51,8.29,4803,1.11,1541.15,35702.0,5790,Standard,1
ORD-100003,2024-06-30,2024-07-08,SUP-017,West,WH-01,South,26129,Staples,180,Rail,2802.42,8.5,8.24,3189,0.94,893.69,20505.0,3919,Standard,0
ORD-100004,2023-09-01,2023-09-14,SUP-022,Central,WH-10,Central,9251,Dairy,7,Sea,1829.17,14.29,13.71,612,21.75,44.78,6031.0,1387,Standard,0
ORD-100005,2024-09-05,2024-09-12,SUP-033,North,WH-12,North,38605,Beverages,30,Road,1803.58,5.25,7.72,1627,4.02,469.51,11980.0,5790,Critical,1
ORD-100006,2023-11-29,2023-12-04,SUP-005,East,WH-07,North,23459,Beverages,30,Road,565.19,3.71,5.96,2604,10.14,235.48,15968.0,3518,Standard,1
ORD-100007,2024-01-27,2024-02-04,SUP-002,North,WH-06,South,34774,Snacks,45,Road,785.69,3.98,8.37,1447,9.65,181.9,1712.0,5216,Standard,1
ORD-100008,2023-10-22,2023-11-06,SUP-037,South,WH-09,North,44883,Beverages,30,Sea,2712.83,15.39,15.08,2917,16.24,316.53,34985.0,6732,High,0
ORD-100009,2024-12-06,2024-12-14,SUP-035,Central,WH-11,Central,38147,Home Care,90,Road,1936.71,5.42,8.59,2196,10.71,680.48,18229.0,5722,Standard,1
ORD-100010,2023-11-13,2023-11-24,SUP-016,South,WH-03,North,5995,Frozen Foods,20,Road,2849.13,6.56,11.45,3862,13.62,1760.53,1968.0,899,High,1
ORD-100011,2024-07-13,2024-07-17,SUP-026,North,WH-01,South,26129,Personal Care,60,Air,647.09,1.81,4.03,4764,2.83,2774.48,16053.0,3919,High,1
ORD-100012,2024-12-01,2024-12-10,SUP-039,North,WH-03,North,5995,Confectionery,120,Rail,2358.74,7.95,9.76,496,14.96,116.99,1519.0,899,Standard,1
ORD-100013,2023-01-06,2023-01-16,SUP-023,North,WH-06,South,34774,Home Care,90,Rail,2303.57,7.88,10.58,1216,23.32,280.11,20850.0,5216,Standard,1
ORD-100014,2024-06-16,2024-06-24,SUP-017,West,WH-12,North,38605,Confectionery,120,Rail,1034.23,6.29,8.01,3190,9.42,329.92,10444.0,5790,Standard,1
ORD-100015,2024-02-10,2024-02-13,SUP-018,East,WH-09,North,44883,Home Care,90,Air,1681.33,3.1,3.26,3082,9.72,4663.67,21515.0,6732,Critical,0
ORD-100016,2023-07-17,2023-07-23,SUP-035,Central,WH-11,Central,38147,Frozen Foods,20,Road,1785.36,5.23,6.38,523,20.72,149.4,17330.0,5722,Standard,1
ORD-100017,2024-01-12,2024-01-19,SUP-037,South,WH-09,North,44883,Confectionery,120,Road,2991.25,6.74,7.03,3901,3.11,1867.02,37562.0,6732,Critical,0
ORD-100018,2024-05-11,2024-05-16,SUP-036,Central,WH-11,Central,38147,Beverages,30,Road,471.91,3.59,5.35,122,,9.21,34738.0,5722,Standard,1
ORD-100019,2024-12-16,2024-12-31,SUP-033,North,WH-12,North,38605,Snacks,45,Sea,218.83,12.27,15.11,645,17.6,5.65,29807.0,5790,High,1
ORD-100020,2024-05-24,2024-05-30,SUP-021,Central,WH-07,North,23459,Frozen Foods,20,Rail,2560.84,8.2,6.79,312,7.13,79.9,4528.0,3518,High,0
ORD-100021,2023-02-21,2023-03-09,SUP-025,East,WH-01,South,26129,Beverages,30,Sea,2143.26,14.68,16.63,3862,24.51,331.09,4795.0,3919,Standard,1
ORD-100022,2023-11-22,2023-12-01,SUP-006,South,WH-03,North,5995,Staples,180,Road,1755.15,5.19,9.09,2241,4.14,629.33,5638.0,899,Standard,1
ORD-100023,2024-12-11,2024-12-18,SUP-006,South,WH-12,North,38605,Personal Care,60,Road,1312.31,4.64,7.9,4858,10.52,1020.04,15897.0,5790,Standard,1
ORD-100024,2023-08-07,2023-08-12,SUP-017,West,WH-06,South,34774,Home Care,90,Road,1738.75,5.17,5.72,2757,16.48,767.0,22531.0,5216,Standard,0
ORD-100025,2024-01-22,2024-01-30,SUP-026,North,WH-07,North,23459,Personal Care,60,Rail,2223.28,7.78,8.98,4258,13.25,946.67,11814.0,3518,High,1
ORD-100026,2023-01-31,2023-02-13,SUP-005,East,WH-01,South,26129,Beverages,30,Sea,213.93,12.27,13.33,2463,,21.08,4520.0,3919,High,1
ORD-100027,2023-10-31,2023-11-01,SUP-015,West,WH-09,North,44883,Snacks,45,Rail,403.03,5.5,1.92,429,19.42,17.29,44679.0,6732,Standard,0
ORD-100028,2024-11-06,2024-11-13,SUP-026,North,WH-05,Central,20101,Beverages,30,Road,1599.01,5.0,7.38,2117,24.73,541.62,16810.0,3015,Standard,1
ORD-100029,2024-01-03,2024-01-10,SUP-018,East,WH-11,Central,38147,Home Care,90,Road,2278.22,5.85,7.6,4598,4.93,1676.04,5747.0,5722,Critical,1
ORD-100030,2023-05-22,2023-05-23,SUP-020,South,WH-12,North,38605,Dairy,7,Road,298.14,3.37,1.83,4277,16.4,204.02,24614.0,5790,High,0
ORD-100031,2024-06-26,2024-07-12,SUP-022,Central,WH-11,Central,38147,Personal Care,60,Sea,1473.59,13.84,16.59,1880,22.78,110.81,19256.0,5722,Standard,1
ORD-100032,2024-09-11,2024-09-17,SUP-022,Central,WH-07,North,23459,Beverages,30,Road,2756.15,6.45,6.66,92,5.19,40.57,7949.0,3518,Standard,0
ORD-100033,2023-04-14,2023-04-18,SUP-024,North,WH-07,North,23459,Beverages,30,Road,2123.95,5.65,4.89,4023,12.2,1367.14,14552.0,3518,High,0
ORD-100034,2024-03-31,2024-04-05,SUP-032,Central,WH-06,South,34774,Confectionery,120,Road,2210.62,5.76,5.68,4809,24.26,1700.94,22745.0,5216,Critical,0
ORD-100035,2024-04-10,2024-04-16,SUP-014,Central,WH-01,South,26129,Beverages,30,Road,2343.16,5.93,6.79,4306,24.46,1614.35,12149.0,3919,Standard,0
ORD-100036,2024-01-30,2024-02-10,SUP-033,North,WH-04,Central,39740,Staples,180,Sea,159.06,12.2,11.28,1876,17.04,11.94,4342.0,5961,High,0
ORD-100037,2023-10-15,2023-10-21,SUP-033,North,WH-05,Central,20101,Beverages,30,Road,1884.6,5.36,6.32,4761,17.09,1435.61,10344.0,3015,Standard,0
ORD-100038,2023-07-05,2023-07-10,SUP-010,Central,WH-05,Central,20101,Confectionery,120,Road,2567.37,6.21,5.51,2272,7.23,933.29,7978.0,3015,High,0
ORD-100039,2023-11-25,2023-12-10,SUP-029,Central,WH-06,South,34774,Confectionery,120,Sea,924.27,13.16,15.83,640,24.94,23.66,19990.0,5216,High,1
ORD-100040,2023-06-10,2023-06-16,SUP-020,South,WH-05,Central,20101,Snacks,45,Road,248.14,3.31,6.21,1543,16.05,61.26,9111.0,3015,Standard,1
ORD-100041,2024-01-03,2024-01-15,SUP-022,Central,WH-12,North,38605,Personal Care,60,Sea,743.54,12.93,12.14,1564,18.69,46.52,20442.0,5790,Standard,0
ORD-100042,2023-08-07,2023-08-21,SUP-013,South,WH-03,North,5995,Snacks,45,Sea,885.58,13.11,14.62,2945,11.24,104.32,4699.0,899,Standard,1
ORD-100043,2024-05-05,2024-05-12,SUP-037,South,WH-04,Central,39740,Confectionery,120,Road,1708.4,5.14,7.97,1628,13.06,445.0,37965.0,5961,Standard,1
ORD-100044,2023-08-03,2023-08-09,SUP-002,North,WH-01,South,26129,Snacks,45,Road,1392.6,4.74,6.78,285,3.23,63.5,1331.0,3919,Standard,1
ORD-100045,2024-12-14,2024-12-20,SUP-013,South,WH-06,South,34774,Home Care,90,Road,54.9,3.07,6.09,854,12.95,7.5,42.0,5216,Standard,1
ORD-100046,2023-12-08,2023-12-11,SUP-034,West,WH-07,North,23459,Personal Care,60,Road,765.32,3.96,3.08,1700,8.6,208.17,5354.0,3518,Critical,0
ORD-100047,2023-05-20,2023-05-29,SUP-007,South,WH-08,North,21814,Beverages,30,Road,2760.53,6.45,9.15,4091,3.21,1806.93,682.0,3272,High,1
