Shipment_ID,Supplier_ID,Supplier_Rating,Supplier_Country,Destination_Country,Shipping_Mode,Carrier,Warehouse,Historical_Delay_Count,Inventory_Level,Demand_Forecast,Weather_Severity,Holiday_Impact,Traffic_Index,Fuel_Price,Port_Congestion,Distance,Purchase_Order_Value,Order_Priority,Customer_Type,Packaging_Type,Vehicle_Availability,Production_Status,Quality_Score,Inspection_Delay,Customs_Clearance_Time,Container_Type,Shipment_Weight,Shipment_Volume,Temperature_Sensitive,Fragile,Route_Risk,Carbon_Emission,Supplier_OnTime_Rate,Market_Demand_Index,Geopolitical_Risk,Economic_Index,Order_Date,Expected_Lead_Time,Lead_Time,Inventory_Days,Transportation_Cost,Late_Delivery_Cost,Supplier_Risk,Month,Quarter,Week,Year,Delay,Product_Category,Units
SHP-110650,1007,5.0,China,India,Road,DB Schenker,WH-020,0,1282,153,2.74,1,2.4,4.21,1.04,4037.9,23779.73,Medium,Government,Carton,57.9,Delayed,87.8,2.91,0.34,40ft Dry,793.33,11.17,0,0,1.73,464.55,0.77,31.2,5.01,90.9,2023-10-13,8.8,13.7,251.3,323.57,507.95,Low,10,4,41,2023,1,Electronics,198
SHP-102041,1287,,USA,Netherlands,Road,Expeditors,WH-017,1,1553,2141,1.35,0,4.12,3.82,0.5,1724.8,4467.17,Medium,Enterprise,Pallet,99.1,On Schedule,100.0,0.34,0.65,Open Top,334.35,1.59,1,1,1.71,253.3,0.869,47.3,0.92,122.0,2023-09-04,7.5,6.3,21.8,125.29,101.87,Medium,9,3,36,2023,0,Food_Beverage,69
SHP-108668,1084,2.38,Mexico,India,Rail,FedEx,WH-001,4,1486,2233,0.65,0,7.16,2.99,5.85,2025.0,15841.07,Medium,Government,Carton,91.4,On Schedule,88.2,4.69,0.05,Flat Rack,375.43,12.15,1,1,3.05,247.11,0.691,44.2,4.83,86.3,2023-05-19,9.8,19.1,20.0,86.08,325.43,Medium,5,2,20,2023,1,Industrial_Equipment,136
SHP-101114,1033,3.42,Brazil,Netherlands,Road,FedEx,WH-005,0,3697,217,0.49,0,4.71,3.92,3.7,1306.2,13872.82,Critical,Retail,Pallet,95.3,Ahead of Schedule,75.1,1.4,1.19,40ft Dry,273.26,0.51,0,0,1.06,174.13,0.754,49.6,1.81,103.9,2023-09-06,7.2,9.6,365.0,97.92,287.25,Medium,9,3,36,2023,0,Pharmaceuticals,238
SHP-113902,1233,2.98,Japan,Australia,Rail,Expeditors,WH-020,2,321,5421,1.44,1,1.42,3.85,1.87,5759.6,24760.42,Critical,Wholesale,Carton,64.1,On Schedule,93.9,1.78,0.78,Reefer,871.29,21.08,0,0,2.37,461.77,0.775,51.0,3.12,92.4,2024-04-02,7.1,10.9,1.8,311.24,526.33,Medium,4,2,14,2024,1,Pharmaceuticals,1548
SHP-111963,1202,4.16,USA,Netherlands,Sea,Expeditors,WH-008,1,1103,4582,4.02,0,4.63,2.84,3.66,1191.2,8918.95,High,Enterprise,Drum,59.6,Ahead of Schedule,80.4,0.65,2.82,20ft Dry,232.42,9.91,1,0,1.79,208.6,0.808,21.3,4.02,109.6,2023-06-08,26.7,35.7,7.2,26.82,181.06,Low,6,2,23,2023,0,Food_Beverage,152
SHP-111072,1026,5.0,Mexico,Canada,Road,CMA CGM,WH-003,1,2562,4646,1.81,0,1.77,2.53,2.39,2975.9,15863.31,Low,Enterprise,Bulk,70.5,Delayed,81.9,0.22,0.06,40ft Dry,1690.35,8.4,0,0,4.33,696.16,0.696,53.1,1.95,96.9,2024-01-17,7.0,12.4,16.5,163.05,333.57,Low,1,1,3,2024,1,Electronics,1546
SHP-103002,1063,,Bangladesh,Canada,Sea,CMA CGM,WH-011,1,3251,1950,0.89,0,6.34,3.9,3.48,3773.3,4714.27,Medium,Enterprise,Drum,57.4,On Schedule,81.2,5.81,1.02,20ft Dry,180.15,1.15,0,1,1.46,679.13,1.0,56.0,1.04,117.3,2023-03-31,26.6,28.9,50.0,110.27,105.31,Medium,3,1,13,2023,0,Industrial_Equipment,51
SHP-119771,1318,3.73,India,USA,Air,FedEx,WH-015,1,4283,5801,1.59,0,4.86,3.44,4.12,2875.3,7169.3,Medium,Enterprise,Bulk,89.4,On Schedule,93.0,1.57,3.3,20ft Dry,1092.89,2.8,0,0,2.52,478.12,0.945,56.0,4.04,95.7,2024-08-20,3.6,10.4,22.1,754.07,218.79,Low,8,3,34,2024,1,Apparel,1043
SHP-108115,1259,4.45,South Korea,Germany,Road,DHL,WH-004,3,3962,5148,,0,5.32,2.75,2.09,2175.8,8889.22,Medium,Government,Pallet,74.4,On Schedule,69.3,0.47,5.0,Flat Rack,116.14,2.25,0,0,2.55,105.22,0.861,38.2,3.66,97.8,2021-02-05,8.2,13.7,23.1,107.84,188.57,Low,2,1,5,2021,1,Electronics,42
SHP-103525,1169,3.41,Brazil,USA,Sea,CMA CGM,WH-013,2,3478,4155,4.7,1,5.87,3.34,5.79,6268.1,4907.43,Low,Enterprise,Pallet,95.9,Delayed,98.6,0.96,0.02,20ft Dry,638.23,5.74,0,0,4.39,167.99,0.932,73.6,1.41,93.9,2022-01-02,23.2,33.5,25.1,160.21,114.17,Low,1,1,52,2022,0,Consumer_Goods,176
SHP-107879,1486,2.31,South Korea,India,Road,Maersk,WH-010,2,1268,364,0.04,0,6.44,3.46,8.85,5137.0,28209.16,Medium,Government,Bulk,62.4,On Schedule,96.1,0.57,1.11,Reefer,390.75,16.59,0,0,0.35,601.96,1.0,52.5,4.88,100.8,2022-06-02,7.3,13.9,104.5,323.2,596.5,Medium,6,2,22,2022,1,Furniture,125
SHP-116441,1468,,Mexico,USA,Road,FedEx,WH-005,1,3115,2886,10.0,0,8.66,2.96,1.87,3414.7,40803.17,Medium,Retail,Pallet,75.7,On Schedule,85.2,1.21,4.77,Reefer,1499.84,44.68,0,0,0.5,192.84,0.983,46.1,2.07,99.6,2023-05-13,11.1,22.6,32.4,209.71,837.03,Low,5,2,19,2023,1,Industrial_Equipment,1072
SHP-116296,1192,4.13,Bangladesh,India,Sea,DHL,WH-008,0,2588,4352,2.9,0,6.74,3.72,6.82,676.9,7906.88,High,Enterprise,Carton,78.3,On Schedule,98.7,0.34,0.75,40ft Dry,13355.21,5.09,0,1,2.17,683.99,1.0,60.8,0.82,116.1,2023-11-09,31.1,37.5,17.8,164.64,174.6,Low,11,4,45,2023,0,Food_Beverage,3243
SHP-112566,1048,2.52,Vietnam,India,Sea,UPS,WH-019,2,3880,3094,0.91,0,6.3,3.56,1.53,3804.5,7936.62,Low,Government,Bulk,93.7,Ahead of Schedule,81.8,3.32,2.4,Flat Rack,3800.2,3.2,0,0,3.8,417.02,0.741,55.0,2.36,91.9,2022-09-11,25.0,29.4,37.6,139.38,172.67,Medium,9,3,36,2022,0,Industrial_Equipment,1022
SHP-105252,1194,3.68,Vietnam,France,Sea,DHL,WH-019,1,2151,4616,0.4,1,8.66,3.32,1.15,2921.2,3324.89,Medium,Wholesale,Pallet,64.1,Ahead of Schedule,90.9,1.39,1.45,Flat Rack,156.82,4.36,0,0,1.27,828.88,0.774,18.3,1.37,117.9,2022-10-20,31.3,31.1,14.0,72.84,73.78,Low,10,4,42,2022,0,Food_Beverage,41
SHP-119393,1259,2.72,Mexico,UK,Sea,CMA CGM,WH-006,3,1343,410,4.56,0,3.56,3.12,2.58,1461.4,14447.71,Low,Enterprise,Drum,76.2,On Schedule,80.7,0.25,0.63,20ft Dry,151.63,12.87,0,0,3.47,736.76,0.881,49.4,0.12,85.0,2021-05-13,17.4,23.0,98.3,34.92,292.45,Medium,5,2,19,2021,0,Consumer_Goods,139
SHP-116796,1030,4.45,India,UAE,Rail,Expeditors,WH-013,1,4677,4083,0.81,0,3.16,4.04,2.9,2700.3,33069.65,Medium,Retail,Crate,81.8,Delayed,100.0,2.17,2.17,Flat Rack,280.76,5.45,0,0,1.92,699.25,0.798,42.0,2.15,103.7,2021-09-04,7.5,10.8,34.4,150.39,676.43,Low,9,3,35,2021,0,Apparel,266
SHP-108094,1278,3.7,Mexico,Germany,Air,DHL,WH-016,4,2209,2853,8.13,0,3.86,3.76,0.54,4730.6,3365.61,High,Retail,Drum,92.3,Delayed,79.2,0.12,0.3,20ft Dry,843.98,5.14,0,0,1.73,198.8,0.984,44.6,1.41,98.9,2021-10-11,6.2,12.2,23.2,1261.09,193.42,Low,10,4,41,2021,1,Food_Beverage,181
SHP-100322,1466,3.03,Germany,Australia,Sea,DHL,WH-020,6,340,4070,0.9,0,2.49,3.94,3.94,4499.4,5396.07,Critical,Retail,Pallet,79.6,On Schedule,92.3,1.06,0.87,Reefer,393.16,1.19,0,0,0.91,484.7,0.79,39.1,0.36,126.5,2022-08-07,26.2,27.5,2.5,134.91,121.41,Medium,8,3,31,2022,0,Pharmaceuticals,172
SHP-109923,1482,4.73,Germany,Japan,Air,UPS,WH-007,1,3260,680,4.61,0,6.34,3.98,2.71,6175.7,3073.67,Medium,Retail,Crate,56.7,On Schedule,76.0,0.64,2.27,Open Top,447.89,3.39,0,0,4.66,550.89,0.729,42.3,2.16,91.4,2022-07-19,2.8,12.8,143.8,1673.76,228.85,Low,7,3,29,2022,1,Consumer_Goods,242
SHP-107459,1464,4.04,China,UK,Rail,CMA CGM,WH-002,2,2616,3287,,0,2.27,4.4,2.61,7679.7,30597.18,Medium,Enterprise,Crate,86.1,On Schedule,97.3,0.9,0.09,Open Top,175.59,16.5,0,0,1.53,415.92,0.825,34.7,3.8,112.8,2021-04-12,8.7,11.9,23.9,451.32,657.08,Low,4,2,15,2021,0,Automotive_Parts,65
SHP-119024,1175,,Mexico,France,Road,Kuehne+Nagel,WH-012,1,1730,390,1.59,0,6.69,3.5,1.96,50.0,2221.22,High,Retail,Drum,66.7,On Schedule,77.8,0.42,1.42,40ft Dry,558.69,8.59,0,0,3.69,430.61,1.0,38.6,3.47,107.6,2023-04-15,7.4,11.0,133.1,16.89,46.11,Low,4,2,15,2023,1,Apparel,160
SHP-117553,1162,3.45,Bangladesh,Netherlands,Sea,Kuehne+Nagel,WH-004,2,2931,4669,3.09,0,1.81,3.01,2.82,4834.5,9015.94,Medium,Retail,Bulk,68.8,Delayed,86.4,0.19,0.39,Flat Rack,148.11,3.76,1,0,10.0,397.64,0.655,39.5,0.42,109.4,2022-11-03,25.3,36.8,18.8,108.31,191.15,Medium,11,4,44,2022,1,Furniture,31
SHP-109119,1497,4.39,USA,Germany,Road,FedEx,WH-001,5,659,5458,4.57,1,8.15,1.75,1.51,5996.2,5572.56,High,Wholesale,Bulk,93.0,On Schedule,89.2,1.63,9.64,Reefer,568.97,11.21,0,1,2.23,688.32,0.781,26.1,2.15,110.0,2022-01-08,9.4,20.0,3.6,192.21,130.67,Low,1,1,1,2022,1,Food_Beverage,318
SHP-116421,1013,4.7,China,UAE,Road,CMA CGM,WH-005,1,2696,2514,2.33,0,2.59,3.1,0.67,3890.5,7981.99,Low,Retail,Bulk,77.6,Ahead of Schedule,71.2,1.96,0.83,Flat Rack,572.07,4.18,0,0,2.87,10.0,0.636,61.0,0.82,96.8,2022-02-28,5.5,8.6,32.2,225.35,182.17,Low,2,1,9,2022,0,Industrial_Equipment,123
SHP-116060,1135,3.67,China,Canada,Rail,UPS,WH-015,1,3245,5261,1.11,0,3.63,3.46,1.83,2882.0,11985.03,Medium,Enterprise,Drum,42.6,Delayed,95.1,0.46,1.14,Flat Rack,927.12,6.81,1,1,1.18,277.4,0.721,31.5,1.4,87.5,2022-04-04,9.0,10.0,18.5,148.96,254.6,Medium,4,2,14,2022,0,Pharmaceuticals,1515
SHP-110120,1460,3.41,USA,India,Air,CMA CGM,WH-012,0,3004,3955,3.9,1,3.51,3.25,3.38,3553.2,26256.6,High,Enterprise,Crate,78.5,On Schedule,90.0,3.38,0.37,40ft Dry,1017.58,5.48,0,0,0.96,719.46,0.771,33.0,1.51,112.7,2023-08-01,4.3,10.0,22.8,851.74,610.31,Medium,8,3,31,2023,1,Food_Beverage,339
SHP-119055,1403,4.12,China,Canada,Rail,Maersk,WH-007,1,2135,653,1.1,0,3.59,4.26,1.25,1780.5,40639.51,Low,Government,Crate,28.9,On Schedule,83.1,0.04,0.8,40ft Dry,296.92,45.11,0,0,2.24,596.31,0.716,50.8,3.68,91.1,2022-09-06,9.5,11.9,98.1,107.09,823.5,Low,9,3,36,2022,0,Consumer_Goods,89
SHP-103649,1267,3.85,Germany,France,Road,Kuehne+Nagel,WH-015,1,3439,970,0.9,0,6.96,3.87,6.37,50.0,83755.92,High,Government,Crate,82.2,On Schedule,81.5,0.05,3.41,Open Top,1511.06,14.74,0,1,3.09,569.35,1.0,60.7,2.35,92.9,2021-08-05,6.3,13.1,106.4,44.69,1679.59,Low,8,3,31,2021,1,Pharmaceuticals,1547
SHP-103941,1366,4.37,USA,UK,Sea,DB Schenker,WH-003,2,758,1398,1.85,0,6.35,3.8,3.57,3166.0,13759.72,High,Wholesale,Carton,,On Schedule,66.5,1.03,1.73,40ft Dry,462.72,3.0,0,1,2.55,366.49,1.0,36.6,0.9,97.2,2022-09-19,31.6,34.8,16.3,93.63,284.56,Low,9,3,38,2022,0,Pharmaceuticals,409
SHP-117880,1371,2.98,Bangladesh,India,Sea,DB Schenker,WH-015,1,4638,1138,1.24,1,5.06,4.39,2.05,3835.9,16673.55,High,Wholesale,Bulk,73.0,Delayed,92.8,0.85,1.36,Open Top,525.12,22.28,1,0,1.74,436.24,0.9,44.6,1.37,87.0,2023-08-24,27.5,28.2,122.3,130.6,346.53,Medium,8,3,34,2023,0,Apparel,220
SHP-116675,1320,3.69,Vietnam,Netherlands,Road,Expeditors,WH-020,2,1771,2169,,0,4.33,2.47,,3350.9,13273.51,High,Enterprise,Carton,83.3,On Schedule,82.0,0.13,0.06,40ft Dry,75.73,2.02,0,0,1.88,342.04,0.822,58.4,2.72,96.0,2023-10-25,6.5,11.2,24.5,147.38,280.21,Low,10,4,43,2023,1,Electronics,16
SHP-112630,1491,4.28,Brazil,Germany,Sea,DHL,WH-020,1,808,5513,0.39,0,3.07,4.92,3.28,3882.0,4006.01,Critical,Government,Drum,58.5,Ahead of Schedule,96.7,1.12,1.77,Flat Rack,1019.24,10.32,0,0,1.04,546.01,0.704,55.3,2.92,80.6,2022-10-30,22.3,25.3,4.4,155.19,95.64,Low,10,4,43,2022,0,Consumer_Goods,320
SHP-111443,1179,3.91,Bangladesh,USA,Air,FedEx,WH-001,4,176,1655,3.48,0,5.33,3.84,2.85,1055.4,14585.55,Low,Government,Crate,74.7,On Schedule,88.0,0.61,3.39,Flat Rack,3656.13,0.58,0,1,2.02,499.29,0.729,33.3,1.81,77.5,2024-04-25,5.0,12.1,3.2,639.83,355.69,Low,4,2,17,2024,1,Furniture,778
SHP-112157,1069,3.44,Japan,UK,Road,Maersk,WH-015,1,634,2563,2.0,0,6.25,3.9,2.19,3533.5,10596.3,Low,Government,Pallet,64.8,On Schedule,84.3,0.05,0.51,Open Top,249.78,1.02,0,0,1.0,460.98,0.916,62.9,1.3,81.6,2022-09-11,10.4,10.9,7.4,250.06,236.93,Low,9,3,36,2022,0,Electronics,61
SHP-113835,1288,3.69,South Korea,Germany,Road,DB Schenker,WH-015,2,3752,2806,1.68,0,6.12,2.86,0.57,2438.1,6843.68,High,Retail,Bulk,96.2,Delayed,77.9,0.24,3.0,Reefer,770.17,3.22,1,0,0.2,584.28,0.797,44.1,0.41,102.6,2021-10-20,7.8,7.2,40.1,138.6,150.73,Low,10,4,42,2021,0,Food_Beverage,296
SHP-103434,1409,3.91,South Korea,USA,Air,Expeditors,WH-015,1,531,2160,1.87,0,5.28,3.7,1.67,3326.6,17177.3,Medium,Wholesale,Bulk,67.3,On Schedule,86.5,0.29,4.16,Reefer,212.26,1.66,0,0,3.7,506.39,1.0,51.4,1.95,80.9,2021-11-16,3.0,6.6,7.4,835.32,427.08,Low,11,4,46,2021,1,Food_Beverage,53
SHP-118739,1280,4.9,Mexico,Japan,Air,FedEx,WH-013,2,3274,1258,0.81,0,6.43,3.42,4.72,4335.4,12169.48,Low,Wholesale,Drum,,On Schedule,97.2,1.09,0.69,40ft Dry,656.88,7.84,0,0,1.76,843.11,0.66,46.9,1.43,101.1,2021-05-10,3.8,8.0,78.1,1040.67,347.46,Low,5,2,19,2021,1,Automotive_Parts,1132
SHP-117407,1456,3.7,Mexico,USA,Sea,CMA CGM,WH-011,1,3546,4810,2.72,0,2.17,2.61,2.51,2653.9,25419.69,High,Enterprise,Pallet,84.8,Ahead of Schedule,82.1,0.85,0.28,Open Top,2464.25,1.68,1,0,1.24,585.58,0.932,38.0,7.58,110.6,2023-07-28,25.5,31.5,22.1,69.85,515.38,Low,7,3,30,2023,0,Industrial_Equipment,2486
SHP-115440,1323,4.61,Vietnam,USA,Sea,CMA CGM,WH-008,2,472,1869,5.26,1,5.63,3.02,2.3,2766.3,3276.16,Low,Enterprise,Pallet,,Delayed,89.8,0.95,2.52,Reefer,508.45,3.31,1,0,0.66,604.48,0.727,36.4,1.37,103.7,2021-09-30,23.8,30.6,7.6,65.94,72.12,Low,9,3,39,2021,0,Apparel,120
SHP-110406,1166,4.58,South Korea,UAE,Road,CMA CGM,WH-014,2,3550,3250,,0,6.8,2.47,6.0,7284.8,1775.66,Critical,Retail,Carton,95.8,Delayed,90.3,0.7,0.94,40ft Dry,515.13,8.98,0,0,3.32,437.33,0.853,27.8,0.61,96.1,2023-04-24,5.4,13.4,32.8,326.51,68.16,Low,4,2,17,2023,1,Food_Beverage,126
SHP-106517,1163,3.72,USA,Germany,Rail,Kuehne+Nagel,WH-004,4,369,5787,2.77,0,5.75,3.52,7.15,3758.3,32668.37,Low,Wholesale,Pallet,100.0,On Schedule,78.8,0.14,4.83,Reefer,718.25,5.43,1,0,1.31,652.38,1.0,97.4,0.43,114.9,2024-06-29,10.0,17.6,1.9,188.48,672.22,Low,6,2,26,2024,1,Industrial_Equipment,464
SHP-100971,1155,2.51,Mexico,Canada,Air,Kuehne+Nagel,WH-020,1,1015,3643,3.14,1,6.41,3.47,0.69,4601.3,2826.72,Low,Wholesale,Drum,72.0,On Schedule,82.6,0.92,1.14,20ft Dry,1109.25,1.23,0,0,3.18,574.53,0.868,46.4,4.44,97.0,2024-10-13,4.0,9.2,8.4,1158.5,172.38,Medium,10,4,41,2024,1,Automotive_Parts,384
SHP-116487,1080,3.17,Germany,UAE,Road,Maersk,WH-018,3,3800,5471,0.62,0,5.52,3.24,0.68,3389.3,1956.33,Low,Wholesale,Drum,74.7,On Schedule,82.6,0.14,2.52,Reefer,469.86,19.3,1,1,1.03,49.6,0.728,41.5,4.05,71.6,2023-05-29,8.0,9.2,20.8,204.53,59.58,Medium,5,2,22,2023,0,Electronics,146
SHP-119730,1456,3.45,China,Netherlands,Rail,DHL,WH-015,0,352,283,3.55,0,5.92,3.27,1.8,2694.0,16178.4,Low,Retail,Drum,67.4,On Schedule,90.6,0.81,1.35,Open Top,563.27,10.99,0,0,1.23,694.07,0.738,49.2,1.34,86.5,2023-11-20,13.4,17.2,37.3,126.35,336.2,Medium,11,4,47,2023,0,Furniture,128
SHP-113137,1228,4.38,Germany,UK,Sea,Kuehne+Nagel,WH-010,1,1692,3805,4.13,0,2.87,4.22,1.87,50.0,13781.24,Critical,Retail,Drum,90.0,On Schedule,93.8,0.18,0.18,Reefer,648.5,25.29,0,1,1.22,724.55,0.745,63.7,4.27,96.8,2022-04-05,10.8,16.7,13.3,9.6,276.58,Low,4,2,14,2022,1,Pharmaceuticals,202
SHP-103669,1261,3.12,South Korea,Japan,Rail,DB Schenker,WH-011,2,2290,903,0.89,0,4.61,2.97,2.66,277.3,9638.32,High,Government,Bulk,55.4,On Schedule,88.6,5.42,0.3,Open Top,958.86,3.63,0,0,0.95,848.47,0.77,99.8,0.75,112.1,2022-10-03,8.0,9.5,76.1,25.98,195.36,Medium,10,4,40,2022,0,Furniture,407
SHP-115983,1189,3.7,Brazil,UK,Air,Kuehne+Nagel,WH-014,3,3765,5488,0.82,0,5.68,3.41,1.02,7060.8,4061.55,High,Wholesale,Bulk,78.2,Ahead of Schedule,93.8,0.17,1.92,40ft Dry,3637.55,7.45,0,0,1.86,406.49,0.643,58.5,0.63,107.6,2024-02-03,3.3,3.9,20.6,1921.69,273.4,Medium,2,1,5,2024,0,Industrial_Equipment,1666
SHP-104058,1107,3.18,Bangladesh,Japan,Sea,Expeditors,WH-001,0,698,216,1.8,0,5.23,3.52,4.21,3705.4,67457.34,Medium,Enterprise,Crate,77.4,On Schedule,92.2,2.57,0.89,40ft Dry,378.52,23.27,0,1,3.01,538.2,0.744,37.1,0.27,101.4,2023-07-16,29.6,35.0,96.9,99.82,1359.13,Medium,7,3,28,2023,0,Food_Beverage,157
