,WarehouseCapacity,ShelfLifeDays,DistanceKM,PlannedLeadTimeDays,ActualLeadTimeDays,OrderQuantity,UnitCost,ShippingCost,InventoryLevel,ReorderPoint,IsDelayed
WarehouseCapacity,1.0,0.0036491408626448474,0.0011558005022903907,-0.0075224217248398,-0.006236894701383762,-0.006645304571627255,0.008601646952403614,-0.002954401053134489,0.5790410710814725,0.9999999888587096,0.010963580575092469
ShelfLifeDays,0.0036491408626448474,1.0,0.013818247582392347,-0.00043721734213427317,0.0016018077567943043,0.004852606655364255,-0.021302493919570176,0.0038153919354170394,0.007152590565837672,0.0036503507999820716,0.007755762881727733
DistanceKM,0.0011558005022903907,0.013818247582392347,1.0,0.2588095352506683,0.23678017777846844,-0.004266844738308246,0.010738444203704949,0.27597410905369796,-0.0016250357311475845,0.0011560675896101422,0.009886961503904562
PlannedLeadTimeDays,-0.0075224217248398,-0.00043721734213427317,0.2588095352506683,1.0,0.9201777027263905,0.001883775953667246,0.0006454981485537377,-0.2550439282819517,-8.189580793964158e-05,-0.007522134264509715,0.004114566268309335
ActualLeadTimeDays,-0.006236894701383762,0.0016018077567943043,0.23678017777846844,0.9201777027263905,1.0,0.00506306161697625,0.00325090321414391,-0.23175130794245946,-9.06024637954626e-05,-0.0062375543022926356,0.31376675091337247
OrderQuantity,-0.006645304571627255,0.004852606655364255,-0.004266844738308246,0.001883775953667246,0.00506306161697625,1.0,0.004139346544689033,0.3142415279561494,-0.01435816215266428,-0.006645115562434921,0.006601386401814655
UnitCost,0.008601646952403614,-0.021302493919570176,0.010738444203704949,0.0006454981485537377,0.00325090321414391,0.004139346544689033,1.0,-0.0012990032050516883,0.005582147416986239,0.008601979414625201,0.000494417697929744
ShippingCost,-0.002954401053134489,0.0038153919354170394,0.27597410905369796,-0.2550439282819517,-0.23175130794245946,0.3142415279561494,-0.0012990032050516883,1.0,-0.004641241200004091,-0.002953743335463469,0.002547546017016708
InventoryLevel,0.5790410710814725,0.007152590565837672,-0.0016250357311475845,-8.189580793964158e-05,-9.06024637954626e-05,-0.01435816215266428,0.005582147416986239,-0.004641241200004091,1.0,0.5790421088004121,0.002065113326569456
ReorderPoint,0.9999999888587096,0.0036503507999820716,0.0011560675896101422,-0.007522134264509715,-0.0062375543022926356,-0.006645115562434921,0.008601979414625201,-0.002953743335463469,0.5790421088004121,1.0,0.010963030503445327
IsDelayed,0.010963580575092469,0.007755762881727733,0.009886961503904562,0.004114566268309335,0.31376675091337247,0.006601386401814655,0.000494417697929744,0.002547546017016708,0.002065113326569456,0.010963030503445327,1.0
