Order_ID,Shipment_ID,Customer_Type,Priority,SLA_Max_Delay_Days,Order_Value_USD,Late_Penalty_Pct_Per_Day,Units
ORD-110650,SHP-110650,Government,Medium,8,23779.73,0.012,198
ORD-102041,SHP-102041,Enterprise,Medium,8,4467.17,0.012,69
ORD-108668,SHP-108668,Government,Medium,8,15841.07,0.012,136
ORD-101114,SHP-101114,Retail,Critical,3,13872.82,0.03,238
ORD-113902,SHP-113902,Wholesale,Critical,3,24760.42,0.03,1548
ORD-111963,SHP-111963,Enterprise,High,5,8918.95,0.02,152
ORD-111072,SHP-111072,Enterprise,Low,14,15863.31,0.006,1546
ORD-103002,SHP-103002,Enterprise,Medium,8,4714.27,0.012,51
ORD-119771,SHP-119771,Enterprise,Medium,8,7169.3,0.012,1043
ORD-108115,SHP-108115,Government,Medium,8,8889.22,0.012,42
ORD-103525,SHP-103525,Enterprise,Low,14,4907.43,0.006,176
ORD-107879,SHP-107879,Government,Medium,8,28209.16,0.012,125
ORD-116441,SHP-116441,Retail,Medium,8,40803.17,0.012,1072
ORD-116296,SHP-116296,Enterprise,High,5,7906.88,0.02,3243
ORD-112566,SHP-112566,Government,Low,14,7936.62,0.006,1022
ORD-105252,SHP-105252,Wholesale,Medium,8,3324.89,0.012,41
ORD-119393,SHP-119393,Enterprise,Low,14,14447.71,0.006,139
ORD-116796,SHP-116796,Retail,Medium,8,33069.65,0.012,266
ORD-108094,SHP-108094,Retail,High,5,3365.61,0.02,181
ORD-100322,SHP-100322,Retail,Critical,3,5396.07,0.03,172
ORD-109923,SHP-109923,Retail,Medium,8,3073.67,0.012,242
ORD-107459,SHP-107459,Enterprise,Medium,8,30597.18,0.012,65
ORD-119024,SHP-119024,Retail,High,5,2221.22,0.02,160
ORD-117553,SHP-117553,Retail,Medium,8,9015.94,0.012,31
ORD-109119,SHP-109119,Wholesale,High,5,5572.56,0.02,318
ORD-116421,SHP-116421,Retail,Low,14,7981.99,0.006,123
ORD-116060,SHP-116060,Enterprise,Medium,8,11985.03,0.012,1515
ORD-110120,SHP-110120,Enterprise,High,5,26256.6,0.02,339
ORD-119055,SHP-119055,Government,Low,14,40639.51,0.006,89
ORD-103649,SHP-103649,Government,High,5,83755.92,0.02,1547
ORD-103941,SHP-103941,Wholesale,High,5,13759.72,0.02,409
ORD-117880,SHP-117880,Wholesale,High,5,16673.55,0.02,220
ORD-116675,SHP-116675,Enterprise,High,5,13273.51,0.02,16
ORD-112630,SHP-112630,Government,Critical,3,4006.01,0.03,320
ORD-111443,SHP-111443,Government,Low,14,14585.55,0.006,778
ORD-112157,SHP-112157,Government,Low,14,10596.3,0.006,61
ORD-113835,SHP-113835,Retail,High,5,6843.68,0.02,296
ORD-103434,SHP-103434,Wholesale,Medium,8,17177.3,0.012,53
ORD-118739,SHP-118739,Wholesale,Low,14,12169.48,0.006,1132
ORD-117407,SHP-117407,Enterprise,High,5,25419.69,0.02,2486
ORD-115440,SHP-115440,Enterprise,Low,14,3276.16,0.006,120
ORD-110406,SHP-110406,Retail,Critical,3,1775.66,0.03,126
ORD-106517,SHP-106517,Wholesale,Low,14,32668.37,0.006,464
ORD-100971,SHP-100971,Wholesale,Low,14,2826.72,0.006,384
ORD-116487,SHP-116487,Wholesale,Low,14,1956.33,0.006,146
ORD-119730,SHP-119730,Retail,Low,14,16178.4,0.006,128
ORD-113137,SHP-113137,Retail,Critical,3,13781.24,0.03,202
ORD-103669,SHP-103669,Government,High,5,9638.32,0.02,407
ORD-115983,SHP-115983,Wholesale,High,5,4061.55,0.02,1666
ORD-104058,SHP-104058,Enterprise,Medium,8,67457.34,0.012,157
ORD-114976,SHP-114976,Retail,Medium,8,3016.72,0.012,349
ORD-115698,SHP-115698,Enterprise,Medium,8,9442.27,0.012,92
ORD-113829,SHP-113829,Retail,High,5,10969.95,0.02,68
ORD-113419,SHP-113419,Government,Low,14,1007.69,0.006,368
ORD-100960,SHP-100960,Government,Medium,8,2231.11,0.012,754
ORD-117744,SHP-117744,Retail,Medium,8,2467.1,0.012,1291
ORD-109864,SHP-109864,Retail,Low,14,18118.14,0.006,428
ORD-111263,SHP-111263,Government,Low,14,6962.37,0.006,2575
ORD-115782,SHP-115782,Enterprise,Critical,3,6875.9,0.03,1425
ORD-117196,SHP-117196,Government,High,5,6934.7,0.02,640
ORD-107554,SHP-107554,Government,Medium,8,22570.16,0.012,710
ORD-110498,SHP-110498,Enterprise,Low,14,16079.99,0.006,68
ORD-117059,SHP-117059,Government,Critical,3,16000.02,0.03,345
ORD-117928,SHP-117928,Government,Critical,3,20252.58,0.03,2135
ORD-107085,SHP-107085,Wholesale,Medium,8,10697.73,0.012,727
ORD-114753,SHP-114753,Enterprise,Low,14,3629.44,0.006,3538
ORD-104519,SHP-104519,Enterprise,Low,14,3774.7,0.006,108
ORD-103024,SHP-103024,Retail,High,5,9262.85,0.02,168
ORD-112121,SHP-112121,Retail,Low,14,51626.53,0.006,413
ORD-118494,SHP-118494,Wholesale,Low,14,8595.06,0.006,1843
ORD-105483,SHP-105483,Government,Critical,3,15610.54,0.03,786
ORD-101419,SHP-101419,Government,High,5,10854.89,0.02,3778
ORD-106209,SHP-106209,Retail,High,5,8715.14,0.02,599
ORD-110742,SHP-110742,Wholesale,High,5,4406.86,0.02,918
ORD-116143,SHP-116143,Retail,High,5,7155.17,0.02,100
ORD-117617,SHP-117617,Government,High,5,12126.45,0.02,449
ORD-114568,SHP-114568,Government,High,5,93337.6,0.02,109
ORD-100980,SHP-100980,Enterprise,Medium,8,38780.34,0.012,64
ORD-102783,SHP-102783,Wholesale,Critical,3,6550.97,0.03,260
ORD-107713,SHP-107713,Government,Medium,8,6609.66,0.012,619
ORD-111518,SHP-111518,Retail,High,5,5696.81,0.02,516
ORD-108600,SHP-108600,Government,Low,14,4491.52,0.006,155
ORD-111640,SHP-111640,Retail,Low,14,8932.42,0.006,706
ORD-118830,SHP-118830,Retail,Medium,8,2023.25,0.012,99
ORD-112562,SHP-112562,Retail,Medium,8,8687.43,0.012,581
ORD-112751,SHP-112751,Enterprise,High,5,10929.85,0.02,861
ORD-106384,SHP-106384,Retail,Medium,8,12019.54,0.012,519
ORD-104807,SHP-104807,Retail,Low,14,16031.06,0.006,2306
ORD-106195,SHP-106195,Retail,Medium,8,49467.03,0.012,7
ORD-110648,SHP-110648,Enterprise,Medium,8,23796.15,0.012,2514
ORD-107567,SHP-107567,Retail,High,5,13230.45,0.02,80
ORD-116397,SHP-116397,Enterprise,Medium,8,8358.73,0.012,220
ORD-117524,SHP-117524,Government,High,5,8616.08,0.02,100
ORD-101346,SHP-101346,Government,Critical,3,4335.16,0.03,1820
ORD-113124,SHP-113124,Retail,Medium,8,48887.25,0.012,649
ORD-112673,SHP-112673,Retail,Medium,8,7582.59,0.012,289
ORD-115455,SHP-115455,Enterprise,Low,14,1873.64,0.006,381
ORD-114001,SHP-114001,Enterprise,Medium,8,13764.63,0.012,118
ORD-118621,SHP-118621,Wholesale,Medium,8,66232.54,0.012,136
ORD-102119,SHP-102119,Wholesale,Medium,8,12012.7,0.012,178
ORD-115304,SHP-115304,Government,Low,14,20867.42,0.006,80
ORD-104309,SHP-104309,Retail,Medium,8,9497.47,0.012,4400
ORD-104484,SHP-104484,Wholesale,Medium,8,6551.68,0.012,154
ORD-111013,SHP-111013,Retail,Low,14,10495.85,0.006,218
ORD-104770,SHP-104770,Wholesale,Critical,3,4457.86,0.03,370
ORD-102712,SHP-102712,Government,Low,14,12859.52,0.006,901
ORD-112186,SHP-112186,Enterprise,Medium,8,6153.41,0.012,220
ORD-116615,SHP-116615,Wholesale,High,5,5365.79,0.02,132
ORD-110947,SHP-110947,Enterprise,Medium,8,5241.05,0.012,137
ORD-102545,SHP-102545,Enterprise,Low,14,10249.45,0.006,337
ORD-112619,SHP-112619,Retail,Low,14,31081.39,0.006,638
ORD-109851,SHP-109851,Enterprise,High,5,16354.52,0.02,1503
ORD-104410,SHP-104410,Government,Low,14,33076.26,0.006,503
ORD-119647,SHP-119647,Government,Medium,8,862.72,0.012,1497
ORD-112344,SHP-112344,Government,Medium,8,7960.2,0.012,154
ORD-112407,SHP-112407,Government,High,5,15196.37,0.02,509
ORD-109610,SHP-109610,Government,Medium,8,39830.46,0.012,432
ORD-110718,SHP-110718,Enterprise,Low,14,4787.0,0.006,579
ORD-107571,SHP-107571,Wholesale,Medium,8,11100.73,0.012,487
ORD-103570,SHP-103570,Retail,High,5,16422.09,0.02,47
ORD-108602,SHP-108602,Retail,Critical,3,51754.3,0.03,666
ORD-103559,SHP-103559,Retail,Low,14,2505.9,0.006,316
ORD-104991,SHP-104991,Wholesale,Low,14,10769.54,0.006,46
ORD-107439,SHP-107439,Retail,High,5,4358.94,0.02,683
ORD-109325,SHP-109325,Enterprise,Medium,8,16625.26,0.012,1255
ORD-102300,SHP-102300,Government,Low,14,34537.16,0.006,141
ORD-107666,SHP-107666,Government,Low,14,17332.1,0.006,463
ORD-105804,SHP-105804,Wholesale,High,5,5791.46,0.02,1006
ORD-112022,SHP-112022,Government,Critical,3,3252.81,0.03,348
ORD-115537,SHP-115537,Retail,High,5,24285.92,0.02,474
ORD-109757,SHP-109757,Retail,Medium,8,3344.18,0.012,53
ORD-112014,SHP-112014,Enterprise,Medium,8,10919.79,0.012,85
ORD-105211,SHP-105211,Retail,Medium,8,7590.2,0.012,718
ORD-111548,SHP-111548,Wholesale,Low,14,8551.38,0.006,115
ORD-112366,SHP-112366,Government,High,5,8336.36,0.02,685
ORD-109270,SHP-109270,Enterprise,High,5,41725.28,0.02,541
ORD-103975,SHP-103975,Government,Medium,8,11544.19,0.012,5197
ORD-116090,SHP-116090,Wholesale,Low,14,7002.55,0.006,29
ORD-117232,SHP-117232,Government,High,5,4021.96,0.02,720
ORD-117443,SHP-117443,Retail,Medium,8,4936.01,0.012,1243
ORD-113656,SHP-113656,Retail,Critical,3,11914.58,0.03,805
ORD-115645,SHP-115645,Enterprise,Low,14,45702.21,0.006,145
ORD-102730,SHP-102730,Government,High,5,1578.3,0.02,163
ORD-103298,SHP-103298,Wholesale,Low,14,12617.29,0.006,98
ORD-108956,SHP-108956,Retail,Medium,8,28370.63,0.012,555
ORD-117410,SHP-117410,Retail,Medium,8,4898.3,0.012,925
ORD-115155,SHP-115155,Government,High,5,25385.42,0.02,282
ORD-117276,SHP-117276,Government,Low,14,4399.44,0.006,439
ORD-106703,SHP-106703,Enterprise,Low,14,30585.92,0.006,61
ORD-101968,SHP-101968,Enterprise,High,5,13864.33,0.02,368
ORD-104936,SHP-104936,Enterprise,Low,14,17907.6,0.006,162
ORD-102112,SHP-102112,Wholesale,Low,14,6849.92,0.006,3614
ORD-100878,SHP-100878,Enterprise,Medium,8,19778.01,0.012,61
ORD-119075,SHP-119075,Government,Low,14,14957.26,0.006,373
ORD-112989,SHP-112989,Retail,Low,14,16785.23,0.006,26
ORD-107277,SHP-107277,Enterprise,Medium,8,20750.89,0.012,43
ORD-105709,SHP-105709,Enterprise,High,5,10197.95,0.02,181
ORD-112078,SHP-112078,Enterprise,Medium,8,21268.07,0.012,717
ORD-106687,SHP-106687,Wholesale,Medium,8,6737.23,0.012,233
ORD-106418,SHP-106418,Enterprise,Medium,8,5965.88,0.012,783
ORD-110431,SHP-110431,Retail,Medium,8,7133.48,0.012,55
ORD-109982,SHP-109982,Retail,Medium,8,1222.35,0.012,674
ORD-119073,SHP-119073,Enterprise,Medium,8,6869.03,0.012,1024
ORD-104629,SHP-104629,Enterprise,Low,14,7073.22,0.006,490
ORD-108862,SHP-108862,Enterprise,High,5,75870.06,0.02,37
ORD-104667,SHP-104667,Government,Critical,3,7845.68,0.03,321
ORD-114163,SHP-114163,Wholesale,Medium,8,2842.7,0.012,122
ORD-100385,SHP-100385,Retail,Medium,8,1021.36,0.012,82
ORD-104186,SHP-104186,Enterprise,Low,14,4344.77,0.006,903
ORD-105345,SHP-105345,Government,High,5,2872.78,0.02,75
ORD-102195,SHP-102195,Retail,Medium,8,9966.1,0.012,53
ORD-114990,SHP-114990,Government,Critical,3,16818.26,0.03,122
ORD-112634,SHP-112634,Wholesale,Medium,8,16477.69,0.012,659
ORD-101077,SHP-101077,Wholesale,High,5,9306.5,0.02,535
ORD-106286,SHP-106286,Wholesale,Low,14,26514.68,0.006,1054
ORD-105933,SHP-105933,Government,Medium,8,9943.34,0.012,91
ORD-118512,SHP-118512,Enterprise,Medium,8,10585.0,0.012,84
ORD-119717,SHP-119717,Enterprise,High,5,21957.0,0.02,1365
ORD-113363,SHP-113363,Wholesale,Medium,8,13406.16,0.012,185
ORD-108072,SHP-108072,Government,Low,14,2824.56,0.006,244
ORD-117020,SHP-117020,Wholesale,Medium,8,60032.05,0.012,26
ORD-109543,SHP-109543,Retail,Medium,8,1262.98,0.012,345
ORD-119094,SHP-119094,Enterprise,Medium,8,14259.28,0.012,9
ORD-113355,SHP-113355,Retail,High,5,18391.14,0.02,482
ORD-118631,SHP-118631,Retail,Critical,3,31951.89,0.03,156
ORD-102848,SHP-102848,Wholesale,Medium,8,2719.21,0.012,54
ORD-112791,SHP-112791,Government,Low,14,9007.07,0.006,267
ORD-107722,SHP-107722,Wholesale,Critical,3,5414.39,0.03,437
ORD-100812,SHP-100812,Enterprise,High,5,14805.45,0.02,1511
ORD-111193,SHP-111193,Government,High,5,5560.5,0.02,209
ORD-105135,SHP-105135,Wholesale,Low,14,5670.69,0.006,105
ORD-108510,SHP-108510,Wholesale,Medium,8,16501.57,0.012,692
ORD-107434,SHP-107434,Enterprise,Low,14,2444.87,0.006,151
ORD-116476,SHP-116476,Enterprise,Critical,3,64965.11,0.03,355
ORD-100936,SHP-100936,Wholesale,High,5,11984.17,0.02,2866
ORD-111965,SHP-111965,Wholesale,Low,14,3900.6,0.006,96
ORD-101692,SHP-101692,Retail,Medium,8,24251.75,0.012,95
ORD-106216,SHP-106216,Enterprise,Low,14,8017.43,0.006,534
ORD-109459,SHP-109459,Retail,Medium,8,5384.28,0.012,689
ORD-112527,SHP-112527,Enterprise,Medium,8,10873.5,0.012,185
ORD-115484,SHP-115484,Enterprise,Low,14,24516.42,0.006,1035
ORD-105792,SHP-105792,Enterprise,Low,14,3368.29,0.006,17
ORD-112266,SHP-112266,Wholesale,Medium,8,18687.31,0.012,477
ORD-102221,SHP-102221,Wholesale,High,5,2198.2,0.02,766
ORD-115757,SHP-115757,Enterprise,High,5,10197.3,0.02,60
ORD-104693,SHP-104693,Enterprise,Critical,3,8014.03,0.03,242
ORD-110108,SHP-110108,Wholesale,Medium,8,6450.42,0.012,159
ORD-105107,SHP-105107,Wholesale,Low,14,11343.89,0.006,271
ORD-113480,SHP-113480,Retail,Medium,8,4971.43,0.012,277
ORD-104745,SHP-104745,Enterprise,Medium,8,13341.52,0.012,44
ORD-101604,SHP-101604,Wholesale,Medium,8,9074.85,0.012,214
ORD-117395,SHP-117395,Government,Medium,8,3225.12,0.012,63
ORD-116863,SHP-116863,Wholesale,Medium,8,5114.32,0.012,659
ORD-108213,SHP-108213,Wholesale,High,5,1481.38,0.02,43
ORD-101092,SHP-101092,Enterprise,Low,14,8959.64,0.006,1418
ORD-113884,SHP-113884,Wholesale,High,5,7961.99,0.02,130
ORD-106311,SHP-106311,Wholesale,Medium,8,10158.24,0.012,593
ORD-109012,SHP-109012,Enterprise,Medium,8,1235.93,0.012,7
ORD-100351,SHP-100351,Retail,Low,14,6072.3,0.006,549
ORD-114782,SHP-114782,Wholesale,High,5,5124.49,0.02,122
ORD-101530,SHP-101530,Government,Critical,3,1748.34,0.03,102
ORD-113591,SHP-113591,Retail,Low,14,1893.84,0.006,2593
ORD-115215,SHP-115215,Enterprise,Low,14,2519.47,0.006,297
ORD-111540,SHP-111540,Enterprise,High,5,21494.7,0.02,751
ORD-100218,SHP-100218,Government,Low,14,4107.82,0.006,710
ORD-106813,SHP-106813,Enterprise,Medium,8,25351.3,0.012,184
ORD-105357,SHP-105357,Enterprise,Medium,8,2320.51,0.012,1130
ORD-115729,SHP-115729,Retail,Medium,8,6337.82,0.012,192
ORD-113043,SHP-113043,Retail,Medium,8,21572.06,0.012,867
ORD-101453,SHP-101453,Retail,Low,14,20871.85,0.006,142
ORD-114932,SHP-114932,Government,Low,14,36490.26,0.006,36
ORD-104740,SHP-104740,Government,Medium,8,9228.01,0.012,331
ORD-102814,SHP-102814,Wholesale,Low,14,10199.7,0.006,407
ORD-107886,SHP-107886,Government,High,5,10840.64,0.02,299
ORD-104973,SHP-104973,Enterprise,High,5,7879.1,0.02,580
ORD-101182,SHP-101182,Enterprise,Critical,3,14016.52,0.03,104
ORD-110035,SHP-110035,Enterprise,Medium,8,18388.21,0.012,109
ORD-103947,SHP-103947,Wholesale,High,5,11892.78,0.02,93
