Warehouse_ID,Product_Category,Available_Units,Safety_Stock_Units,Usable_Safety_Stock_Units,Holding_Cost_Per_Unit_USD
WH-001,Food_Beverage,2567,528,432,1.24
WH-001,Consumer_Goods,6554,1957,1068,2.4
WH-001,Electronics,1976,517,431,2.02
WH-001,Industrial_Equipment,7070,1601,1285,1.9
WH-002,Industrial_Equipment,3218,691,576,1.96
WH-002,Electronics,3942,927,561,1.28
WH-002,Food_Beverage,2421,355,178,0.95
WH-002,Apparel,2816,425,309,0.3
WH-003,Pharmaceuticals,4631,775,433,2.4
WH-003,Automotive_Parts,4595,1083,771,2.05
WH-003,Apparel,4758,1328,867,1.77
WH-003,Electronics,7114,1638,1080,0.17
WH-004,Industrial_Equipment,7804,1275,871,2.15
WH-004,Food_Beverage,7982,1284,873,1.71
WH-004,Apparel,7506,1384,863,1.74
WH-004,Consumer_Goods,1217,154,91,1.82
WH-005,Pharmaceuticals,6170,734,617,1.85
WH-005,Consumer_Goods,1350,341,269,1.56
WH-005,Food_Beverage,2846,602,477,2.5
WH-005,Electronics,6743,1764,1407,2.16
WH-006,Industrial_Equipment,7936,1506,1096,2.03
WH-006,Food_Beverage,4773,1366,911,1.84
WH-006,Pharmaceuticals,5334,1103,561,1.33
WH-006,Automotive_Parts,1735,362,287,1.68
WH-007,Electronics,7789,2215,1395,0.76
WH-007,Furniture,6753,1607,1032,0.31
WH-007,Consumer_Goods,3604,650,392,0.91
WH-007,Automotive_Parts,2561,593,421,0.79
WH-008,Electronics,2591,326,278,1.81
WH-008,Pharmaceuticals,7656,1826,1186,0.96
WH-008,Furniture,7056,2091,1552,1.1
WH-008,Consumer_Goods,243,50,25,0.56
WH-009,Apparel,5338,1175,970,0.31
WH-009,Pharmaceuticals,7302,1775,1082,0.61
WH-009,Consumer_Goods,5588,797,461,1.38
WH-009,Furniture,6388,1481,802,0.21
WH-010,Food_Beverage,7687,1110,642,1.03
WH-010,Apparel,2563,566,460,1.01
WH-010,Automotive_Parts,4325,849,711,1.49
WH-010,Electronics,5082,802,626,2.08
WH-011,Automotive_Parts,1736,446,330,1.41
WH-011,Furniture,4191,1134,844,1.41
WH-011,Consumer_Goods,4208,461,313,2.28
WH-011,Electronics,7197,793,676,2.09
WH-012,Apparel,1398,229,172,2.3
WH-012,Industrial_Equipment,625,107,90,2.31
WH-012,Food_Beverage,2891,427,334,1.93
WH-012,Pharmaceuticals,364,64,48,1.59
WH-013,Apparel,1434,181,158,2.3
WH-013,Consumer_Goods,2915,359,261,0.59
WH-013,Industrial_Equipment,6419,1114,676,2.1
WH-013,Automotive_Parts,6414,1470,1313,1.76
WH-014,Electronics,1838,426,362,1.27
WH-014,Food_Beverage,3759,775,527,0.32
WH-014,Industrial_Equipment,6530,818,538,1.06
WH-014,Consumer_Goods,6339,988,653,1.6
WH-015,Industrial_Equipment,7772,1490,939,0.26
WH-015,Apparel,5873,1048,913,1.87
WH-015,Consumer_Goods,487,82,72,1.16
WH-015,Furniture,1301,241,140,2.23
WH-016,Furniture,7461,1704,1184,0.46
WH-016,Apparel,7233,2028,1457,0.82
WH-016,Automotive_Parts,5127,568,355,1.41
WH-016,Food_Beverage,7047,1183,817,0.77
WH-017,Furniture,7632,1641,1141,1.05
WH-017,Electronics,6644,852,520,1.69
WH-017,Apparel,5725,1121,905,2.26
WH-017,Food_Beverage,3005,411,220,0.55
WH-018,Consumer_Goods,4075,1092,780,2.08
WH-018,Industrial_Equipment,2526,529,295,0.34
WH-018,Food_Beverage,7680,1422,910,0.99
WH-018,Pharmaceuticals,7666,1347,1182,0.3
WH-019,Automotive_Parts,1202,128,75,0.76
WH-019,Apparel,1761,252,200,2.16
WH-019,Food_Beverage,310,86,56,0.9
WH-019,Electronics,4908,1245,890,0.75
WH-020,Industrial_Equipment,6510,1900,1387,1.53
WH-020,Apparel,306,43,34,1.88
WH-020,Consumer_Goods,5871,1285,980,2.11
WH-020,Automotive_Parts,942,133,113,1.23
