Shipment_ID,Predicted_Delay_Days,Delay_Probability,Tier,Recommended_Action,Estimated_Cost_USD,Expected_Delay_After_Action_Days,Business_Impact_USD,Optimization_Status,Confidence_Score
SHP-102041,0.0,0.0026000000070780516,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.0,0.0,Not_Required,0.013
SHP-101114,2.0999999046325684,0.12520000338554382,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.0999999046325684,0.0,Not_Required,0.626
SHP-113902,3.299999952316284,0.5303999781608582,LOW_COST_MITIGATION,Delay_Launch,222.84,3.299999952316284,0.0,Heuristic_Optimal,0.652
SHP-111963,9.0,0.14810000360012054,NO_ACTION_REQUIRED,No_Action_Required,0.0,9.0,0.0,Not_Required,0.741
SHP-103002,1.899999976158142,0.004800000227987766,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.899999976158142,0.0,Not_Required,0.024
SHP-103525,9.800000190734863,0.5058000087738037,LOW_COST_MITIGATION,Use_Safety_Stock,311.52,0.0,-311.52,Heuristic_Optimal,0.529
SHP-116296,6.5,0.02160000056028366,NO_ACTION_REQUIRED,No_Action_Required,0.0,6.5,0.0,Not_Required,0.108
SHP-112566,5.099999904632568,0.01209999993443489,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.099999904632568,0.0,Not_Required,0.06
SHP-105252,0.10000000149011612,0.0008999999845400453,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.10000000149011612,0.0,Not_Required,0.004
SHP-119393,5.300000190734863,0.07339999824762344,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.300000190734863,0.0,Not_Required,0.367
SHP-116796,3.5,0.249099999666214,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.5,0.0,Not_Required,0.755
SHP-100322,1.7000000476837158,0.004399999976158142,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.7000000476837158,0.0,Not_Required,0.022
SHP-107459,3.5999999046325684,0.2800999879837036,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.5999999046325684,0.0,Not_Required,0.6
SHP-119024,3.5,0.5285999774932861,LOW_COST_MITIGATION,Delay_Launch,0.0,3.5,0.0,Heuristic_Optimal,0.643
SHP-117553,9.699999809265137,0.39809998869895935,NO_ACTION_REQUIRED,No_Action_Required,0.0,9.699999809265137,0.0,Not_Required,0.01
