Origin_Country,Destination_Country,Mode,Transit_Days,Weekly_Capacity_Kg,Available
China,India,Air,1.2,7300,True
China,India,Sea,38.1,52042,True
China,India,Rail,1.0,48945,True
China,India,Road,10.3,27083,True
USA,Netherlands,Air,0.7,10860,True
USA,Netherlands,Sea,30.0,36264,True
USA,Netherlands,Rail,8.7,19309,True
USA,Netherlands,Road,11.8,28299,True
Mexico,India,Air,5.3,11032,True
Mexico,India,Sea,13.6,46655,True
Mexico,India,Rail,4.5,48656,True
Mexico,India,Road,2.0,45420,True
Brazil,Netherlands,Air,2.4,13815,True
Brazil,Netherlands,Sea,13.9,19000,True
Brazil,Netherlands,Rail,9.6,19894,True
Brazil,Netherlands,Road,5.9,59510,True
Japan,Australia,Air,2.1,6317,True
Japan,Australia,Sea,20.8,51703,True
Japan,Australia,Rail,14.4,9913,True
Japan,Australia,Road,5.5,5673,True
Mexico,Canada,Air,0.5,4386,True
Mexico,Canada,Sea,1.5,25574,True
Mexico,Canada,Rail,10.0,8726,True
Mexico,Canada,Road,10.3,22984,True
Bangladesh,Canada,Air,2.7,13947,True
Bangladesh,Canada,Sea,10.8,47514,True
Bangladesh,Canada,Rail,11.0,18771,True
Bangladesh,Canada,Road,3.2,7565,True
India,USA,Air,4.3,11884,True
India,USA,Sea,16.4,48251,True
India,USA,Rail,11.1,16337,True
India,USA,Road,7.5,46365,True
South Korea,Germany,Air,1.6,10278,True
South Korea,Germany,Sea,13.2,45240,True
South Korea,Germany,Rail,14.9,23724,True
South Korea,Germany,Road,8.8,21717,True
Brazil,USA,Air,3.7,6640,True
Brazil,USA,Sea,10.8,7445,True
Brazil,USA,Rail,12.9,12907,True
Brazil,USA,Road,7.4,59971,True
South Korea,India,Air,2.4,2167,True
South Korea,India,Sea,13.7,33210,True
South Korea,India,Rail,6.9,28324,True
South Korea,India,Road,3.1,59581,True
Mexico,USA,Air,1.4,8517,True
Mexico,USA,Sea,24.4,29677,True
Mexico,USA,Rail,17.3,57020,True
Mexico,USA,Road,6.7,37288,True
Bangladesh,India,Air,1.8,5548,True
Bangladesh,India,Sea,2.1,54076,True
Bangladesh,India,Rail,11.3,44430,True
Bangladesh,India,Road,6.1,33489,True
Vietnam,India,Air,2.2,14534,True
Vietnam,India,Sea,25.4,6954,True
Vietnam,India,Rail,3.5,56994,True
Vietnam,India,Road,12.8,20398,True
Vietnam,France,Air,4.7,3095,True
Vietnam,France,Sea,13.6,51193,True
Vietnam,France,Rail,10.2,12637,True
Vietnam,France,Road,1.9,25954,True
Mexico,UK,Air,3.2,9592,True
Mexico,UK,Sea,36.4,53149,True
Mexico,UK,Rail,7.3,30970,True
Mexico,UK,Road,2.3,24400,True
India,UAE,Air,1.3,9773,True
India,UAE,Sea,28.7,29099,True
India,UAE,Rail,4.4,46958,True
India,UAE,Road,1.9,32594,True
Mexico,Germany,Air,2.5,5825,True
Mexico,Germany,Sea,14.6,43462,True
Mexico,Germany,Rail,7.4,19723,True
Mexico,Germany,Road,4.3,38351,True
Germany,Australia,Air,5.1,14210,True
Germany,Australia,Sea,9.3,46668,True
Germany,Australia,Rail,7.1,24367,True
Germany,Australia,Road,3.1,50140,True
Germany,Japan,Air,4.5,5116,True
Germany,Japan,Sea,36.2,14792,True
Germany,Japan,Rail,8.0,36063,True
Germany,Japan,Road,8.3,5192,True
China,UK,Air,0.5,6273,True
China,UK,Sea,18.1,33253,True
China,UK,Rail,14.6,27399,True
China,UK,Road,2.7,28914,True
Mexico,France,Air,4.4,13655,True
Mexico,France,Sea,10.2,19706,True
Mexico,France,Rail,9.2,35261,True
Mexico,France,Road,11.1,5958,True
Bangladesh,Netherlands,Air,3.2,6926,True
Bangladesh,Netherlands,Sea,27.0,13792,True
Bangladesh,Netherlands,Rail,13.0,38501,True
Bangladesh,Netherlands,Road,10.8,52629,True
USA,Germany,Air,3.5,5959,True
USA,Germany,Sea,30.1,5555,True
USA,Germany,Rail,8.0,28339,True
USA,Germany,Road,11.7,33022,True
China,UAE,Air,4.9,11398,True
China,UAE,Sea,14.4,11896,True
China,UAE,Rail,14.5,56732,True
China,UAE,Road,7.3,18468,True
China,Canada,Air,2.3,6414,True
China,Canada,Sea,18.4,20033,True
China,Canada,Rail,5.6,38965,True
China,Canada,Road,7.1,5689,True
USA,India,Air,2.2,8781,True
USA,India,Sea,30.6,37065,True
USA,India,Rail,12.5,41444,True
USA,India,Road,8.7,42249,True
Germany,France,Air,2.8,10435,True
Germany,France,Sea,24.9,36867,True
Germany,France,Rail,9.0,31941,True
Germany,France,Road,10.9,11712,True
USA,UK,Air,3.7,2704,True
USA,UK,Sea,20.1,26231,True
USA,UK,Rail,4.2,37677,True
USA,UK,Road,3.6,16335,True
Vietnam,Netherlands,Air,2.6,3214,True
Vietnam,Netherlands,Sea,13.5,10497,True
Vietnam,Netherlands,Rail,7.4,56615,True
Vietnam,Netherlands,Road,4.2,55415,True
Brazil,Germany,Air,2.2,9561,True
Brazil,Germany,Sea,24.8,59407,True
Brazil,Germany,Rail,6.0,21006,True
Brazil,Germany,Road,6.2,33650,True
Bangladesh,USA,Air,1.7,12207,True
Bangladesh,USA,Sea,28.0,57733,True
