Supplier_ID,Product_Category,Max_Monthly_Capacity_Units,Current_Utilization_Units,Available_Capacity_Units
1001,Industrial_Equipment,11813,8020,3793
1001,Pharmaceuticals,6708,5276,1432
1001,Furniture,14541,6616,7925
91001,Food_Beverage,17051,7409,9642
91001,Pharmaceuticals,14997,6025,8972
91001,Electronics,5503,3303,2200
1002,Automotive_Parts,10119,5879,4240
1002,Apparel,17384,13940,3444
1002,Industrial_Equipment,15817,10971,4846
91002,Food_Beverage,18439,8111,10328
91002,Electronics,8664,7140,1524
91002,Industrial_Equipment,9323,7717,1606
1003,Automotive_Parts,10221,7553,2668
1003,Food_Beverage,10830,5034,5796
1003,Furniture,2568,1736,832
91003,Food_Beverage,8322,6649,1673
91003,Consumer_Goods,18581,11553,7028
91003,Apparel,16746,12522,4224
1005,Furniture,5554,4373,1181
1005,Electronics,12044,9707,2337
1005,Apparel,16815,13365,3450
91005,Automotive_Parts,18772,12334,6438
91005,Food_Beverage,4686,3056,1630
91005,Industrial_Equipment,9604,5322,4282
1007,Industrial_Equipment,3483,2171,1312
1007,Automotive_Parts,16999,11619,5380
1007,Electronics,17979,11406,6573
91007,Apparel,5766,4441,1325
91007,Furniture,8799,6357,2442
91007,Pharmaceuticals,5570,4132,1438
1008,Consumer_Goods,7238,5766,1472
1008,Industrial_Equipment,8108,6157,1951
1008,Automotive_Parts,15129,10576,4553
91008,Industrial_Equipment,9562,7326,2236
91008,Apparel,9082,5483,3599
91008,Electronics,15402,12585,2817
1009,Apparel,3906,1959,1947
1009,Pharmaceuticals,7668,4435,3233
1009,Automotive_Parts,17132,9890,7242
91009,Pharmaceuticals,16504,13249,3255
91009,Furniture,12932,8517,4415
91009,Apparel,3262,1990,1272
1013,Furniture,9175,5618,3557
1013,Apparel,7567,4732,2835
1013,Consumer_Goods,12475,7640,4835
91013,Industrial_Equipment,8144,6191,1953
91013,Consumer_Goods,12491,5859,6632
91013,Furniture,17365,11499,5866
1014,Apparel,6298,4422,1876
1014,Pharmaceuticals,5074,3196,1878
1014,Food_Beverage,6592,5450,1142
91014,Food_Beverage,19765,15687,4078
