Supplier_ID,Supplier_Name,Country,Supplier_Type,Rating,OnTime_Rate,Secondary_Supplier_ID,Secondary_Premium_Pct,Lead_Time_Days
1001,Supplier-1001,China,Primary,4.55,0.835,91001.0,0.167,2
91001,Backup-Supplier-91001,China,Secondary,2.69,0.765,,,4
1002,Supplier-1002,South Korea,Primary,4.23,1.0,91002.0,0.107,8
91002,Backup-Supplier-91002,South Korea,Secondary,3.66,0.993,,,4
1003,Supplier-1003,Bangladesh,Primary,3.95,1.0,91003.0,0.147,10
91003,Backup-Supplier-91003,Bangladesh,Secondary,2.34,0.646,,,6
1005,Supplier-1005,USA,Primary,3.49,0.941,91005.0,0.11,4
91005,Backup-Supplier-91005,USA,Secondary,3.86,0.731,,,11
1007,Supplier-1007,China,Primary,3.42,0.796,91007.0,0.17,15
91007,Backup-Supplier-91007,China,Secondary,3.81,0.598,,,9
1008,Supplier-1008,South Korea,Primary,3.18,0.884,91008.0,0.143,13
91008,Backup-Supplier-91008,South Korea,Secondary,2.94,0.646,,,10
1009,Supplier-1009,Mexico,Primary,3.94,0.799,91009.0,0.131,10
91009,Backup-Supplier-91009,Mexico,Secondary,3.52,0.832,,,6
1013,Supplier-1013,China,Primary,4.08,0.807,91013.0,0.166,17
91013,Backup-Supplier-91013,China,Secondary,2.77,0.51,,,12
1014,Supplier-1014,Germany,Primary,5.0,0.819,91014.0,0.127,10
91014,Backup-Supplier-91014,Germany,Secondary,3.3,0.777,,,4
1016,Supplier-1016,Vietnam,Primary,4.15,0.912,91016.0,0.143,14
91016,Backup-Supplier-91016,Vietnam,Secondary,4.94,0.821,,,6
1019,Supplier-1019,China,Primary,3.71,0.922,91019.0,0.18,6
91019,Backup-Supplier-91019,China,Secondary,2.29,0.82,,,6
1023,Supplier-1023,China,Primary,4.91,0.843,91023.0,0.097,7
91023,Backup-Supplier-91023,China,Secondary,3.91,0.838,,,5
1026,Supplier-1026,Mexico,Primary,3.91,0.981,91026.0,0.105,5
91026,Backup-Supplier-91026,Mexico,Secondary,3.49,0.692,,,6
1028,Supplier-1028,China,Primary,3.75,0.689,91028.0,0.092,13
91028,Backup-Supplier-91028,China,Secondary,3.13,0.492,,,10
1030,Supplier-1030,India,Primary,3.96,0.789,91030.0,0.081,15
91030,Backup-Supplier-91030,India,Secondary,3.74,1.0,,,9
1033,Supplier-1033,Brazil,Primary,4.03,0.843,91033.0,0.107,14
91033,Backup-Supplier-91033,Brazil,Secondary,4.38,0.737,,,6
1035,Supplier-1035,South Korea,Primary,3.51,0.939,91035.0,0.063,10
91035,Backup-Supplier-91035,South Korea,Secondary,3.2,0.838,,,7
1036,Supplier-1036,Bangladesh,Primary,4.37,0.635,91036.0,0.063,8
91036,Backup-Supplier-91036,Bangladesh,Secondary,1.88,0.684,,,5
1037,Supplier-1037,Brazil,Primary,3.68,0.971,91037.0,0.057,7
91037,Backup-Supplier-91037,Brazil,Secondary,3.46,0.926,,,5
1038,Supplier-1038,Brazil,Primary,3.25,0.916,91038.0,0.101,14
91038,Backup-Supplier-91038,Brazil,Secondary,3.49,0.884,,,4
1041,Supplier-1041,USA,Primary,3.79,0.839,91041.0,0.114,5
91041,Backup-Supplier-91041,USA,Secondary,3.98,0.758,,,4
1042,Supplier-1042,Japan,Primary,3.74,0.973,91042.0,0.082,6
91042,Backup-Supplier-91042,Japan,Secondary,2.85,0.975,,,8
1048,Supplier-1048,Vietnam,Primary,4.26,0.746,91048.0,0.11,13
91048,Backup-Supplier-91048,Vietnam,Secondary,3.54,0.866,,,7
1049,Supplier-1049,South Korea,Primary,3.97,0.876,91049.0,0.074,15
91049,Backup-Supplier-91049,South Korea,Secondary,2.37,0.53,,,11
1050,Supplier-1050,Germany,Primary,4.51,0.758,91050.0,0.16,12
91050,Backup-Supplier-91050,Germany,Secondary,4.15,1.0,,,9
1053,Supplier-1053,Bangladesh,Primary,3.58,0.771,91053.0,0.083,10
91053,Backup-Supplier-91053,Bangladesh,Secondary,2.79,1.0,,,13
1054,Supplier-1054,Vietnam,Primary,4.48,0.768,91054.0,0.091,14
91054,Backup-Supplier-91054,Vietnam,Secondary,3.81,0.95,,,9
1055,Supplier-1055,China,Primary,4.24,0.924,91055.0,0.054,4
91055,Backup-Supplier-91055,China,Secondary,3.56,0.733,,,4
1056,Supplier-1056,Japan,Primary,4.81,1.0,91056.0,0.091,13
91056,Backup-Supplier-91056,Japan,Secondary,4.45,0.801,,,8
1057,Supplier-1057,South Korea,Primary,3.14,0.9,91057.0,0.116,6
91057,Backup-Supplier-91057,South Korea,Secondary,3.46,0.79,,,13
1060,Supplier-1060,Vietnam,Primary,4.34,0.861,91060.0,0.167,12
91060,Backup-Supplier-91060,Vietnam,Secondary,3.36,0.67,,,7
1061,Supplier-1061,Brazil,Primary,3.35,0.735,91061.0,0.088,13
91061,Backup-Supplier-91061,Brazil,Secondary,2.25,0.785,,,10
1063,Supplier-1063,Bangladesh,Primary,4.44,0.963,91063.0,0.083,8
91063,Backup-Supplier-91063,Bangladesh,Secondary,2.74,0.841,,,9
1064,Supplier-1064,USA,Primary,4.57,0.97,91064.0,0.149,7
91064,Backup-Supplier-91064,USA,Secondary,3.28,0.826,,,7
1065,Supplier-1065,Vietnam,Primary,3.45,0.885,91065.0,0.103,9
91065,Backup-Supplier-91065,Vietnam,Secondary,3.72,0.752,,,8
1067,Supplier-1067,China,Primary,3.96,0.746,91067.0,0.073,17
91067,Backup-Supplier-91067,China,Secondary,2.69,0.546,,,2
1068,Supplier-1068,Bangladesh,Primary,3.82,0.863,91068.0,0.117,16
91068,Backup-Supplier-91068,Bangladesh,Secondary,1.63,0.848,,,12
1069,Supplier-1069,Japan,Primary,3.12,0.822,91069.0,0.163,8
91069,Backup-Supplier-91069,Japan,Secondary,3.27,0.971,,,13
1070,Supplier-1070,Brazil,Primary,3.6,1.0,91070.0,0.099,19
91070,Backup-Supplier-91070,Brazil,Secondary,3.43,0.816,,,9
1071,Supplier-1071,Japan,Primary,5.0,0.945,91071.0,0.103,15
91071,Backup-Supplier-91071,Japan,Secondary,3.25,0.741,,,10
1072,Supplier-1072,Japan,Primary,3.82,0.888,91072.0,0.067,13
91072,Backup-Supplier-91072,Japan,Secondary,3.8,0.568,,,9
1074,Supplier-1074,China,Primary,3.21,0.716,91074.0,0.148,12
91074,Backup-Supplier-91074,China,Secondary,3.01,0.9,,,3
1077,Supplier-1077,China,Primary,3.56,0.802,91077.0,0.084,13
91077,Backup-Supplier-91077,China,Secondary,2.79,0.887,,,8
1078,Supplier-1078,Japan,Primary,2.66,0.664,91078.0,0.083,11
91078,Backup-Supplier-91078,Japan,Secondary,3.43,0.797,,,8
1079,Supplier-1079,Germany,Primary,4.37,0.749,91079.0,0.174,7
91079,Backup-Supplier-91079,Germany,Secondary,3.7,0.949,,,6
1080,Supplier-1080,Germany,Primary,2.3,0.69,91080.0,0.13,9
91080,Backup-Supplier-91080,Germany,Secondary,3.21,0.805,,,7
1081,Supplier-1081,India,Primary,4.43,0.792,91081.0,0.146,13
91081,Backup-Supplier-91081,India,Secondary,2.43,0.847,,,8
