Warehouse_ID,Location,Max_Capacity_Units,Current_Utilization_Units,Available_Capacity_Units,Storage_Cost_Per_Unit_Per_Day_USD
WH-001,Region-1,40929,22193,18736,0.065
WH-002,Region-3,32781,22899,9882,0.192
WH-003,Region-2,68956,61857,7099,0.057
WH-004,Region-5,50956,44412,6544,0.211
WH-005,Region-6,77482,60916,16566,0.051
WH-006,Region-1,107975,72738,35237,0.041
WH-007,Region-3,67579,39837,27742,0.231
WH-008,Region-8,58821,48678,10143,0.184
WH-009,Region-2,93342,48476,44866,0.17
WH-010,Region-6,95693,61987,33706,0.129
WH-011,Region-4,54057,32216,21841,0.092
WH-012,Region-4,46774,34672,12102,0.24
WH-013,Region-5,48360,38323,10037,0.206
WH-014,Region-1,105063,79979,25084,0.131
WH-015,Region-5,37316,19231,18085,0.228
WH-016,Region-8,77373,38794,38579,0.069
WH-017,Region-2,20968,17036,3932,0.158
WH-018,Region-2,53933,44526,9407,0.101
WH-019,Region-4,101559,66513,35046,0.14
WH-020,Region-4,24007,14640,9367,0.118
